collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.enterer,collection.reference_no,pubyr,state,county,latdec,lngdec,geogscale,spatial_resolution,geogcomments,10_my_bin,ma_max,ma_min,ma_mid,zone,geological_group,formation,member,localsection,localbed,localbedunit,localorder,regionalsection,regionalbed,regionalbedunit,regionalorder,stratscale,stratcomments,lithdescript,lithadj,lithification,minor_lithology,lithology1,fossilsfrom1,lithification2,minor_lithology2,lithadj2,lithology2,fossilsfrom2,environment,tectonic_setting,pres_mode,geology_comments,spatial_resolution2,temporal_resolution,feed_pred_traces,encrustation,bioerosion,fragmentation,sorting,art_whole_bodies,disart_assoc_maj_elems,lagerstatten,concentration,orientation,preservation_quality,abund_in_sediment,assembl_comps,taphonomy_comments,collection_type,collection_coverage,coll_meth,collection_size,collection_size_unit,museum,collectors,collection_dates,rock_censused_unit,rock_censused,collection_comments,taxonomy_comments,collection.created
3601,PaleoDB,M. Patzkowsky,,Panopea,n. sp.,anacachoensis,,,,,K. Layou,216,1996,Texas,Medina,29.369444,-99.283333,small collection,,"in Seco Creek on Road 1796, about 3.2 km N of D'Hanis",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,"Brown, 1965 section","f-i of Brown, 1965",,,,,,,group of beds,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,calcareous,"""shale""",,,,,,,marine indet.,,body,,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 08:46
3601,PaleoDB,M. Patzkowsky,,Pycnodonte,,mutabilis,,,,,K. Layou,216,1996,Texas,Medina,29.369444,-99.283333,small collection,,"in Seco Creek on Road 1796, about 3.2 km N of D'Hanis",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,"Brown, 1965 section","f-i of Brown, 1965",,,,,,,group of beds,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,calcareous,"""shale""",,,,,,,marine indet.,,body,,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 08:46
3602,PaleoDB,M. Patzkowsky,cf.,Exogyra,,erraticostata,,,,,K. Layou,216,1996,Texas,Medina,29.369444,-99.283333,small collection,,"in Seco Creek on Road 1796, about 3.2 km N of D'Hanis",Cretaceous 7,84.9,70.6,77.75,Baculites sp.,,Anacacho Limestone,,"Brown, 1965 section","b, of Brown, 1965",,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites sp. (weak flank ribs), Baculites sp. (smooth) zone, which is late upper Campanian in Gradstein et al., 2004.",,,,calcareous,"""shale""",,,,,,,marine indet.,,body,,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:38
3602,PaleoDB,M. Patzkowsky,?,Lyriochlamys,,sp.,,,,,K. Layou,216,1996,Texas,Medina,29.369444,-99.283333,small collection,,"in Seco Creek on Road 1796, about 3.2 km N of D'Hanis",Cretaceous 7,84.9,70.6,77.75,Baculites sp.,,Anacacho Limestone,,"Brown, 1965 section","b, of Brown, 1965",,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites sp. (weak flank ribs), Baculites sp. (smooth) zone, which is late upper Campanian in Gradstein et al., 2004.",,,,calcareous,"""shale""",,,,,,,marine indet.,,body,,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:38
3602,PaleoDB,M. Patzkowsky,,Pycnodonte,,mutabilis,,,,,K. Layou,216,1996,Texas,Medina,29.369444,-99.283333,small collection,,"in Seco Creek on Road 1796, about 3.2 km N of D'Hanis",Cretaceous 7,84.9,70.6,77.75,Baculites sp.,,Anacacho Limestone,,"Brown, 1965 section","b, of Brown, 1965",,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites sp. (weak flank ribs), Baculites sp. (smooth) zone, which is late upper Campanian in Gradstein et al., 2004.",,,,calcareous,"""shale""",,,,,,,marine indet.,,body,,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:38
3602,PaleoDB,M. Patzkowsky,,Spondylus,n. sp.,siccus,,,,,K. Layou,216,1996,Texas,Medina,29.369444,-99.283333,small collection,,"in Seco Creek on Road 1796, about 3.2 km N of D'Hanis",Cretaceous 7,84.9,70.6,77.75,Baculites sp.,,Anacacho Limestone,,"Brown, 1965 section","b, of Brown, 1965",,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites sp. (weak flank ribs), Baculites sp. (smooth) zone, which is late upper Campanian in Gradstein et al., 2004.",,,,calcareous,"""shale""",,,,,,,marine indet.,,body,,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:38
3603,PaleoDB,M. Patzkowsky,cf.,Granocardium,,dumosum,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 2,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as a chalk,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:53
3604,PaleoDB,M. Patzkowsky,cf.,Barbatia,,carolinensis,cf.,Arca,,carolinensis,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 3,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:58
3604,PaleoDB,M. Patzkowsky,,Cucullaea,,sp.,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 3,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:58
3604,PaleoDB,M. Patzkowsky,cf.,Cymella,,ironensis,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 3,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:58
