collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.enterer,collection.reference_no,pubyr,state,county,latdec,lngdec,geogscale,spatial_resolution,geogcomments,10_my_bin,ma_max,ma_min,ma_mid,zone,geological_group,formation,member,localsection,localbed,localbedunit,localorder,regionalsection,regionalbed,regionalbedunit,regionalorder,stratscale,stratcomments,lithdescript,lithadj,lithification,minor_lithology,lithology1,fossilsfrom1,lithification2,minor_lithology2,lithadj2,lithology2,fossilsfrom2,environment,tectonic_setting,pres_mode,geology_comments,spatial_resolution2,temporal_resolution,feed_pred_traces,encrustation,bioerosion,fragmentation,sorting,art_whole_bodies,disart_assoc_maj_elems,lagerstatten,concentration,orientation,preservation_quality,abund_in_sediment,assembl_comps,taphonomy_comments,collection_type,collection_coverage,coll_meth,collection_size,collection_size_unit,museum,collectors,collection_dates,rock_censused_unit,rock_censused,collection_comments,taxonomy_comments,collection.created
171351,,M. Clapham,,Placenticeras,,sp.,,,,,M. Clapham,55739,1978,Alabama,,32.35,-86.34,outcrop,,"Montgomery County, Alabama (W1/2, sec. 23, T16N, R17E)",Cretaceous 7,84.9,70.6,77.75,,,Mooreville,,,,,,,,,,bed,Mooreville Formation at its basal contact with the Eutah Formation.,,,lithified,,marl,,,,,,,carbonate indet.,,body,,,,,,,,,,,,,,,,macrofossils,,taxonomic,,,,,,"K.N. Whetstone, R.C. Cason",1971,,,Repository: University of Kansas,,07/07/2015 23:48
171351,,M. Clapham,,Baculites,cf.,asper,,,,,M. Clapham,55739,1978,Alabama,,32.35,-86.34,outcrop,,"Montgomery County, Alabama (W1/2, sec. 23, T16N, R17E)",Cretaceous 7,84.9,70.6,77.75,,,Mooreville,,,,,,,,,,bed,Mooreville Formation at its basal contact with the Eutah Formation.,,,lithified,,marl,,,,,,,carbonate indet.,,body,,,,,,,,,,,,,,,,macrofossils,,taxonomic,,,,,,"K.N. Whetstone, R.C. Cason",1971,,,Repository: University of Kansas,,07/07/2015 23:48
3585,PaleoDB,M. Patzkowsky,,Glyptoxoceras,,sp.,,,,,K. Layou,214,1991,Alabama,Pickens,33.231667,-88.272778,small collection,,"left bank of Tombigbee River below Pickensville Landing at mileage 332.5 mi above Mobile, SW 1/4 sec. 23, T 21 S, R 17 W",Cretaceous 7,84.9,70.6,77.75,,,Mooreville Chalk,,,,,,,,,,,,,,,,"""carbonate""",,,,,,,,,,,,,,,,,,,,,,,,,,,biostratigraphic,some macrofossils,,,,USGS,,,,,,,05/08/1999 08:13
3585,PaleoDB,M. Patzkowsky,,Baculites,,capensis,,,,,K. Layou,214,1991,Alabama,Pickens,33.231667,-88.272778,small collection,,"left bank of Tombigbee River below Pickensville Landing at mileage 332.5 mi above Mobile, SW 1/4 sec. 23, T 21 S, R 17 W",Cretaceous 7,84.9,70.6,77.75,,,Mooreville Chalk,,,,,,,,,,,,,,,,"""carbonate""",,,,,,,,,,,,,,,,,,,,,,,,,,,biostratigraphic,some macrofossils,,,,USGS,,,,,,,05/08/1999 08:13
3585,PaleoDB,M. Patzkowsky,,Baculites,,arculus,,,,,K. Layou,214,1991,Alabama,Pickens,33.231667,-88.272778,small collection,,"left bank of Tombigbee River below Pickensville Landing at mileage 332.5 mi above Mobile, SW 1/4 sec. 23, T 21 S, R 17 W",Cretaceous 7,84.9,70.6,77.75,,,Mooreville Chalk,,,,,,,,,,,,,,,,"""carbonate""",,,,,,,,,,,,,,,,,,,,,,,,,,,biostratigraphic,some macrofossils,,,,USGS,,,,,,,05/08/1999 08:13
3585,PaleoDB,M. Patzkowsky,,Pseudoschloenbachia,,mexicana,,Pseudoschloenbachia,,mexicana,K. Layou,214,1991,Alabama,Pickens,33.231667,-88.272778,small collection,,"left bank of Tombigbee River below Pickensville Landing at mileage 332.5 mi above Mobile, SW 1/4 sec. 23, T 21 S, R 17 W",Cretaceous 7,84.9,70.6,77.75,,,Mooreville Chalk,,,,,,,,,,,,,,,,"""carbonate""",,,,,,,,,,,,,,,,,,,,,,,,,,,biostratigraphic,some macrofossils,,,,USGS,,,,,,,05/08/1999 08:13
3588,PaleoDB,M. Patzkowsky,,Baculites,,capensis,,,,,K. Layou,214,1991,Alabama,Perry,32.527778,-87.286389,small collection,,"roadcuts 2.9 km E of Hamburg in the SW 1/4 sec. 19, T 18 N, R 8 E",Cretaceous 7,84.9,70.6,77.75,,,Mooreville Chalk,,,,,,,,,,,,,,,,"""carbonate""",,,,,,,,,,,,,,,,,,,,,,,,,,,biostratigraphic,some macrofossils,,,,USGS,,,,,,,05/08/1999 08:24
3588,PaleoDB,M. Patzkowsky,,Baculites,,arculus,,,,,K. Layou,214,1991,Alabama,Perry,32.527778,-87.286389,small collection,,"roadcuts 2.9 km E of Hamburg in the SW 1/4 sec. 19, T 18 N, R 8 E",Cretaceous 7,84.9,70.6,77.75,,,Mooreville Chalk,,,,,,,,,,,,,,,,"""carbonate""",,,,,,,,,,,,,,,,,,,,,,,,,,,biostratigraphic,some macrofossils,,,,USGS,,,,,,,05/08/1999 08:24
82687,PaleoDB,A. Hendy,,Baculites,,compressus,,,,,A. Hendy,27815,1937,Alberta,,49.272,-112.831,local area,,"SPECIFIC LOCATION: Pothole Creek, Alberta, Canada. LAT/LONG: estimated based on township and range (data supplied in text) conversion.",Cretaceous 7,84.9,70.6,77.75,,,Blood River Sandstone,,,,,,,,,,group of beds,"STRATIGRAPHIC RELATIONS: From the Blood River Sandstone, which overlies gradationally the Late Campanian Bearpaw Shale, and is presumably overlain by the Eastman Fm (Early Maastrichtian). AGE: Late Campanian on the basis of ammonite (and other groups) biostratigraphy; Baculites compressus zone. Late Campanian according to Dawson et el. - Geological Atlas of the Western Canada Sedimentary Basin. STRATIGRAPHIC POSITION: From unknown position within the Foremost Fm.",SPECIFIC LITHOLOGY: Sandstone. LITHIFICATION: lithified.,,lithified,,sandstone,Y,,,,,Y,shoreface,,"body,original aragonite,original calcite",ENVIRONMENT: Shoreline siliciclastic marine setting.,,,,,,,,,,,,,medium,,macrofossils,,taxonomic,,"surface (in situ),field collection",,,GSC,,,,,,,31/07/2008 06:51
82680,PaleoDB,A. Hendy,,Baculites,,obtusus,,,,,A. Hendy,27815,1937,Alberta,,49.98,-110.948,outcrop,,"SPECIFIC LOCATION: Pakowki Coulee, Alberta, Canada. LAT/LONG: estimated based on township and range (data supplied in text) conversion.",Cretaceous 7,84.9,70.6,77.75,,,Judith RIver,Foremost,,,,,,,,,group of beds,"STRATIGRAPHIC RELATIONS: From the Foremost [Mbr] Fm, which overlies the Early Campanian Pakowki Fm, and is overlain by the Oldman [Mbr] Fm (non-marine) of the Judith River [Fm] Gp (Late Campanian). AGE: Late Campanian on the basis of ammonite (and other groups) biostratigraphy; Middle Campanian according to Dawson et el. - Geological Atlas of the Western Canada Sedimentary Basin. STRATIGRAPHIC POSITION: From the basal Foremost Fm.",SPECIFIC LITHOLOGY: Sandstone. LITHIFICATION: lithified.,,lithified,,sandstone,Y,,,,,Y,transition zone/lower shoreface,,"body,original aragonite,original calcite",ENVIRONMENT: Very shallow siliciclastic marine setting.,,,,,,,,,,,,,medium,,macrofossils,,taxonomic,,"surface (in situ),field collection",,,GSC,Russell & Landes,1934-1936,,,COLLECTOR: L.S. Russell and R. W. Landes. REPOSITORY: Geological Survey of Canada (GSC),"COVERAGE: Exhaustive for bivalvia, gastropoda, scaphopoda, and cephalopoda.",31/07/2008 06:30
