Column1,X,Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date,EandR,Map,USGS7.5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum,FormationNew,species
4541,6876,340,USA,CO,Jefferson,Cretaceous,Pierre shale,,NA,,"Five miles southeast of Morrison, in the NE1/4 NW1/4 NE1/4 sec. 29, T. 5 S., R. 69 W., ",Inoceramus,,G.R. Scott,4/30/1955,0,Indian Hills ,,39.59421,-105.13504,,,02/18/2014,Inoceramus,,Pierre,Inoceramus
4544,6879,343,USA,CO,Jefferson,Cretaceous,"Pierre shale, higher than D338",Campanian,NA,,"Just east of irrigation canal 5.1 miles southeast of Morrison, in the NW1/4 SE1/4 NE1/4 sec. 29, T. 5 S., R. 69 W.",Baculites,Baculites scotti,G.R. Scott,4/30/1955,0,Indian Hills ,,39.59065,-105.13236,,,02/18/2014,Baculites,,Pierre,Baculites
789,874,344,USA,CO,Larimer,Cretaceous,Pierre shale,"Campanian, Middle  80.04 MY",NA,Baculites asperiformis,"One mile west of Horse Creek, in the NW1/4 SE1/4 sec. 26, T. 17 N., R. 70 W.",Baculites obtusus,Baculites asperiformis,G.R. Scott,05/07/1955,0,Sherman ,,41.41461,-105.19944,,Shoreline Map,02/18/2014,Baculites obtusus,,Pierre,Baculites_obtusus
4545,6880,345,USA,CO,Larimer,Cretaceous,Pierre shale,Campanian,NA,,"19.0 miles north of Fort Collins, on north bank of stream, SW1/4 SW1/4 sec. 36, T. 11 N., R. 69 W., Larimer Co., Colo",Inoceramus,Baculites perplexus,"W. A. Cobban, G.R. Scott",5/14/1955,0,Livermore ,,40.87256,-105.07288,,,02/18/2014,Inoceramus,,Pierre,Inoceramus
811,897,350,USA,CO,Larimer,Cretaceous,"Pierre shale, from tepee butte ls","Campanian, Middle  80.04 MY",NA,,"Three miles south of Horse Creek, in stream bank near center S1/2 sec. 12, T. 16 N., R. 70 W.",Baculites obtusus,Baculites obtusus,G.R. Scott,05/07/1955,0,Sherman ,,41.368,-105.18421,,,02/18/2014,Baculites obtusus,,Pierre,Baculites_obtusus
4547,6883,354,USA,CO,,Cretaceous,Pierre shale,,NA,,"3.5 miles west of Berthoud, on east side of section-line road, in the NW1/4 SW1/4 sec. 17, T. 4 N., R. 69 W., ",Baculites corrugatus ,,G.R. Scott,05/05/1955,0,Loveland ,,40.30984,-105.14776,,,02/18/2014,Baculites corrugatus fauna,,Pierre,Baculites_corrugatus
4548,6884,355,USA,CO,Boulder,Cretaceous,Pierre shale,Campanian,NA,,"Three miles north of Hygiene, in the NW1/4 SW1/4 SE1/4 sec. 12, T. 3 N., R. 70 W., ",Emperoceras beecheri ,Didymoceras nebrascense,G.R. Scott,05/05/1955,0,Hygiene ,,40.23499,-105.17652,,,02/18/2014,Emperoceras beecheri fauna,,Pierre,Emperoceras_beecheri
4549,6885,356,USA,CO,Boulder,Cretaceous,"Pierre shale, slightly higher than D355",,NA,,"Three miles north of Hygiene, in the NW1/4 SW1/4 SE1/4 sec. 12, T. 3 N., R. 70 W., ",Baculites corrugatus ,Exitoloceras jenneyi,G.R. Scott,05/05/1955,0,Hygiene ,,40.23499,-105.17652,,,02/18/2014,Baculites corrugatus fauna,,Pierre,Baculites_corrugatus
4550,6886,360,USA,WY,Sweetwater,Cretaceous,"Almond fm., 40 - 50' below base of highest major cliff-forming sandstone bed. From calcareous sandstone concrs. weathering brown",Campanian,NA,,"About 0.2 miles south of U.S. Highway 30, 2.0 miles east of Point of Rocks, NW1/4 SE1/4 sec. 25, T. 20 N., R. 101 W.","Inoceramus, etc.",Baculites baculus,W. A. Cobban,4/28/1955,0,,,41.68053,-108.74201,,,02/18/2014,"Inoceramus, etc.",,Almond,Inoceramus_etc
3403,4450,361,USA,WY,Sweetwater,Cretaceous,"Lewis shale, about 150' below top. From ferruginous concretions in dark shale","Maastrichtian, Lower. 69.57 MY",NA,,"Hills about 0.2 miles south of U.S. Highway 30, 2.0 miles southeast of bridge over Ten Mile Creek and 4.0 miles southeast of Point of Rocks, NW1/4 sec. 5, T. 19 N., R. 100 W.",Baculites clinolobatus,Baculites grandis,W. A. Cobban,4/29/1955,0,,,41.65522,-108.71295,,,02/18/2014,Baculites clinolobatus,,Lewis,Baculites_clinolobatus
10,30,363,USA,WY,Carbon,Cretaceous,"Steele shale, about 150 - 200' below top. Silty shale with ferrug.concrs",Campanian,NA,,"North side of ravine just north of Seminoe road six miles north - northwest of Sinclair, NE1/4 SE1/4 NW1/4 sec. 23, T. 22 N., R. 86 W.",Baculires,,W. A. Cobban,4/27/1955,0,Sinclair ,,41.86607,-107.07189,PP 667,,02/18/2014,Baculires,,Steele,Baculires
11,31,364,USA,WY,Carbon,Cretaceous,"Steele shale, about 400' below top. Silty shale with ferruginous concretions",Campanian,NA,,"South side of Seminoe road at bend six miles north - northwest of Sinclair, NW1/4 NE1/4 SE1/4 sec. 23, T. 22 N., R. 86 W.",Baculires sp. (weak flank ribs),Didymoceras stevensoni,W. A. Cobban,4/27/1955,0,Sinclair ,,41.8625,-107.06479,PP 667,,02/18/2014,Baculires,,Steele,Baculires_sp
513,588,366,USA,CO,,Cretaceous,"Pierre shale, basal few feet of Hygiene sandstonemem.","Campanian, Middle",NA,scotti,"22.5 miles north of Fort Collins, near center of sec. 18, T. 11 N., R. 68 W., ",phosphatic nodules & Baculites,Baculites scotti,"W. A. Cobban, G.R. Scott",5/14/1955,0,Livermore ,,40.92165,-105.04824,Map I-1700,,02/18/2014,phosphatic nodules & Baculites,,Hygiene,phosphatic_nodulesBaculites
2438,2635,367,USA,CO,,Cretaceous,"Pierre shale, from middle part of shale between Hygiene and Terry ssandstone","Campanian, Upper. 74.61 MY",NA,stevensoni,Same location as D368,Inoceramus,,"W. A. Cobban, G.R. Scott",5/14/1955,0,Livermore ,,40.91614,-105.05061,Map I-1700,,02/18/2014,Inoceramus,,Hygiene,Inoceramus
2439,2636,368,USA,CO,Larimer,Cretaceous,"Pierre shale, top of shale just beneath Terry sandstone memb.","Campanian, Upper. 74.61 MY",NA,stevensoni,"22.0 miles north of Fort Collins, just west of Round Butte SE1/4 SW1/4 sec. 18, T. 11 N., R. 68 W., ",Baculites corrugatus ,Didymoceras stevensoni,"W. A. Cobban, G.R. Scott",5/14/1955,0,Livermore ,,40.91614,-105.05061,Map I-1700,,02/18/2014,Baculites corrugatus fauna,,Pierre,Baculites_corrugatus
2183,2366,370,USA,CO,Larimer,Cretaceous,"Pierre shale, from sandstone Lower than D371","Campanian, Upper. 73.52 MY",NA,B residei,"21.5 miles north of Fort Collins, 0.5 mile south of Round Butte, in the SE1/4 NW1/4 sec. 19, T. 11 N., R. 68 W., ",Tellina,,G.R. Scott,5/14/1955,0,Livermore ,,40.90796,-105.05009,Map I-1700,,02/18/2014,Tellina,,Pierre,Tellina
2667,2873,375,USA,CO,Larimer,Cretaceous,"Pierre shale, 50 - 100' above top of Richards sandstone","Campanian, Upper. about 71.5 MY",NA,eliasi,"21.5 miles north of Fort Collins, from divide between Round Butte reservoirs nos.1 & 2, SE1/4 NW1/4 sec. 19, T. 11 N., R. 68 W., ",Baculites jenseni n. sp.,Baculites eliasi,"G.R. Scott, W. A. Cobban",5/14/1955,0,Livermore ,,40.90796,-105.05009,Map I-1700,,02/18/2014,Baculites jenseni n. sp.,,Pierre,Baculites_jenseni_n_sp
3660,4719,376,USA,CO,Larimer,Cretaceous,"Pierre shale, from shale unit above Richards sandstone Member & higher than D375",Maestrichichtian,NA,Baculites baculus,"21.7 miles north of Fort Collins, from ditch cut at head of Round Butte Reservoirs no.1, in the SW1/4 NE1/4 sec. 19, T. 11 N., R. 68 W., ",Acanthoscaphites,Baculites baculus,G.R. Scott,5/14/1955,0,Livermore ,,40.90841,-105.04581,Map I-1700,,02/18/2014,Acanthoscaphites,,Pierre,Acanthoscaphites
1066,1168,381,USA,CO,El Paso,Cretaceous,Gray limestone concretions near base of Gilbert's Tepee zone of Pierre shale,"Campanian, Middle. ",75.64,Baculites scotti,"Small bench southeast and adjacent to small Tepee Butte just east of Hanover road 1.1 miles southeast of Little Buttes, SW1/4 SE1/4 NW1/4 sec. 3, T. 17 S., R. 65 W.",Baculites scotti n. sp,,W. A. Cobban,08/10/1954,,Fountain ,,38.60044,-104.65798,MAP I-1627,,02/18/2014,Baculites scotti n. sp,,Pierre,Baculites_scotti_n_sp
4554,6890,385,USA,CO,Montrose,Cretaceous,Mancos shale,,NA,,"NE1/4 NW1/4 sec. 36, T. 45 N., R. 9 W.",Ostrea lugubris,Lopha lugubris,"G.R. Scott, D. R. Crandell",06/02/1955,0,Montrose ,,38.11421,-107.81161,,,02/18/2014,Ostrea lugubris,,Mancos,Ostrea_lugubris
813,899,387,USA,CO,La Plata,Cretaceous,"Cliff House sandstone, from upper massive beds","Campanian, Middle  80.04 MY",NA,,"One mile south of Durango, just north of county road, SW1/4 SW1/4 SW1/4 sec. 32, T. 35 N., R. 9 W.",Baculites obtusus,Baculites obtusus,W. A. Cobban,6/23/1955,0,Durango ,,37.25258,-107.88339,,,02/18/2014,Baculites obtusus,,Cliff House,Baculites_obtusus
814,900,388,USA,CO,La Plata,Cretaceous,"Lewis shale, sandy shale near base","Campanian, Middle  80.04 MY",NA,,"About 1.3 miles south of Durango, on hillside south of county road, NW1/4 sec. 32, T. 34 1/2 N., R. 9 W.",Baculites obtusus,,W. A. Cobban,6/23/1955,0,Durango ,,37.24827,-107.88124,,,02/18/2014,Baculites obtusus,,Lewis,Baculites_obtusus
3121,4130,390,USA,CO,Archuleta,Cretaceous,"Lewis shale, near middle",Maastrichtian,NA,,"Cut long U.S. Highway 160, 1.5 miles southeast of bridge over Piedra River, in sec. 7, T. 34 N., R. 4 W.",Baculites crickmayi ,Didymoceras stevensoni,W. A. Cobban,6/22/1955,0,Pagosa Springs ,,37.23075,-107.3547,,,02/18/2014,Baculites crickmayi fauna,,Lewis,Baculites_crickmayi
4340,6570,394,USA,CO,,Cretaceous,700 feet above base of Pierre shale,Campanian,NA,Baculites asperiformis Meek,"On E. side of N-S road, NW1/4 NW1/4 sec. 12, T. 7 S., R. 69 W.",Baculites sp. n. sp. (weak ribs),,"G.R. Scott, R. D. Miller",6/15/1955,0,Kassler ,,39.46142,-105.07071,PP 421-B,,02/18/2014,Baculites,,Pierre,Baculites_sp_n_sp
3527,4583,395,USA,WY,Weston,Cretaceous,"Pierre shale, from gray limestone concretions in upper member","Maastrichtian, Lower. 70.15 MY",NA,,"4.5 miles southwest of Upton, in the NE1/4 sec. 18, T. 47 N., T. 68 W. ",Baculites grandis,Baculites grandis,"C. S. Robinson, W. J. Mapel",5/20/1955,MD-55-11D,,,44.05678,-105.06544,,,02/18/2014,Baculites grandis,,Pierre,Baculites_grandis
3528,4584,396,USA,WY,Crook,Cretaceous,"Pierre shale, from gray limestone concretions near top of upper member","Maastrichtian, Lower. 70.15 MY",NA,,"3 miles east-northeast of Moorcroft, in the SE1/4 sec. 27, T. 50 N., R. 67 W.",Baculites grandis,Baculites grandis,W. J. Mapel,7/19/1955,0,,,44.28409,-104.88744,,,02/18/2014,Baculites grandis,,Pierre,Baculites_grandis
4557,6895,402,USA,WY,Weston,Cretaceous,"Pierre shale, from gray limestone concretions in upper part of middle member",Campanian,NA,,"7 miles southeast of Moorcroft, in sec. 2, T. 48 N., R. 67 W. ",Baculites n.sp,Baculites eliasi,"C. MacClintock, W. J. Mapel",8/23/1955,0,,,44.17089,-104.86975,,,02/18/2014,Baculites n.sp,,Pierre,Baculites_nsp
4558,6896,403,USA,WY,Weston,Cretaceous,"Pierre shale, from gray limestone concretions at base of Monument Hill bentonitic member",Campanian,NA,,"7 miles southeast of Moorcroft, in sec. 2, T. 48 N., R. 67 W. ",Baculites n.sp,Baculites eliasi,"C. MacClintock, W. J. Mapel",8/23/1955,0,,,44.17089,-104.86975,,,02/18/2014,Baculites n.sp,,Pierre,Baculites_nsp
4559,6897,404,USA,WY,Weston,Cretaceous,"Pierre shale, from gray limestone concretions near middle of Monument Hill bentonitic member",Campanian,NA,,"7 miles southeast of Moorcroft, in sec. 2, T. 48 N., R. 67 W. ",Baculites n.sp,Baculites eliasi,"C. MacClintock, W. J. Mapel",8/23/1955,0,,,44.17089,-104.86975,,,02/18/2014,Baculites n.sp,,Pierre,Baculites_nsp
4560,6898,405,USA,WY,Weston,Cretaceous,"Pierre shale, from gray limestone concretions at top of Monument Hill bentonitic member",Campanian,NA,,"7 miles southeast of Moorcroft, in sec. 2, T. 48 N., R. 67 W. ",Baculites n.sp,Baculites eliasi,"C. MacClintock, W. J. Mapel",8/23/1955,0,,,44.17089,-104.86975,,,02/18/2014,Baculites n.sp,,Pierre,Baculites_nsp
4561,6899,406,USA,WY,Weston,Cretaceous,"Pierre shale, from gray limestone concretions in lower part of upper member",Campanian,NA,,"7 miles southeast of Moorcroft, in sec. 2, T. 48 N., R. 67 W. ",Baculites n.sp,Baculites eliasi,"C. MacClintock, W. J. Mapel",8/23/1955,0,,,44.17089,-104.86975,,,02/18/2014,Baculites n.sp,,Pierre,Baculites_nsp
3529,4585,407,USA,WY,Weston,Cretaceous,"Pierre shale, from gray limestone concretions in upper part of upper member","Maastrichtian, Lower. 70.15 MY",NA,,"7 miles southeast of Moorcroft, in sec. 2, T. 48 N., R. 67 W. ",Baculites grandis,Baculites grandis,"C. MacClintock, W. J. Mapel",8/23/1955,0,,,44.17089,-104.86975,,,02/18/2014,Baculites grandis,,Pierre,Baculites_grandis
4572,6913,428,USA,WY,Weston,Cretaceous,"Pierre shale, from upper part of Monument Hill bentonitic member",Campanian,NA,,"6 miles west of Osage, in sec. 16, T. 46 N., R. 64 W. ",Baculites n.sp,Baculites eliasi,"W. J. Mapel, C. S. Robinson. W. A. Cobban",9/22/1955,MD-55-11D,,,43.96833,-104.55687,,,02/18/2014,Baculites n.sp,,Pierre,Baculites_nsp
4573,6914,429,USA,WY,Weston,Cretaceous,"Pierre shale, below red concretion zone near top of middle member of Pierre shale",Campanian,NA,,"7 miles southeast of Moorcroft, in sec. 2, T. 48 N., R. 67 W. ",Drepanochilus nebrascensis,,"W. J. Mapel, C. S. Robinson. W. A. Cobban",9/22/1955,MD-55-11D,,,44.17117,-104.86951,,,02/18/2014,Drepanochilus nebrascensis,,Pierre,Drepanochilus_nebrascensis
4575,6916,431,USA,WY,Weston,Cretaceous,"Pierre shale, middle of Monument Hill bentonitic member",Campanian,NA,,"7 miles southeast of Moorcroft, in sec. 2, T. 48 N., R. 67 W. ",Baculites n.sp,,W. A. Cobban,9/22/1955,MD-55-11D,,,44.17117,-104.86951,,,02/18/2014,Baculites n.sp,,Pierre,Baculites_nsp
4579,6920,442,USA,WY,Campbell,Cretaceous,"Pierre shale, upper member",Campanian,NA,,"4 miles north- northwest of Stroner, NE1/4 NE1/4 sec. 24, T. 56 N., R. 69 W.",Baculites sp,,"W. J. Mapel, C. S. Robinson. W. A. Cobban",9/23/1955,MD-55-11D,,,44.82763,-105.09385,,,02/18/2014,Baculites sp,,Pierre,Baculites_sp
2677,2883,445,USA,WY,Niobrara,Cretaceous,"Pierre shale, from gray calcareous concretions","Campanian, Upper. about 71.5 MY",NA,,"Beside highway 4.5 miles east - northeast of Lance Creek, NE1/4 sec. 32, T. 36 N., R. 64 W.",Baculites jenseni,,W. A. Cobban,9/21/1955,0,,,43.05609,-104.56268,,,02/18/2014,Baculites jenseni,,Pierre,Baculites_jenseni
2678,2884,446,USA,WY,Niobrara,Cretaceous,"Pierre shale, from gray calcareous concretions","Campanian, Upper. about 71.5 MY",NA,,"Beside highway 8.3 miles east of Lance Creek, NE1/4 sec. 36, T. 36 N., R. 64 W.",Baculites jenseni,Baculites eliasi,W. A. Cobban,9/21/1955,0,,,43.05373,-104.48368,,,02/18/2014,Baculites jenseni,,Pierre,Baculites_jenseni
2664,2870,448,USA,WY,Weston,Upper Cretaceous,"Pierre shale, from barren gray gumbo member (Monument Hill)","Campanian, Upper. about 71.5 MY",NA,Baculites jenseni,"19 miles south of Newcastle, just west of U. S. Highway 85, NW 1/4 sec. 4, T. 41 N., R. 61 W. ",Baculites jenseni,Baculites jenseni,W. A. Cobban,9/24/1955,0,,,43.5645,-101.1969,"JPaleoVol32,4",,02/18/2014,Baculites jenseni,,Pierre,Baculites_jenseni
4583,6924,449,USA,WY,Niobrara,Cretaceous,"Pierre shale, upper member",Campanian,NA,,"East side of U. S. Highway 85, 3.7 miles north of Riverview, W1/2 NW 1/4 sec. 4, T. 40 N., R. 61 W.",Inoceramus ,,W. A. Cobban,9/24/1955,0,,,43.47746,-104.20179,,,02/18/2014,Inoceramus ,,Pierre,Inoceramus
3404,4451,450,USA,WY,Weston,Cretaceous,"Pierre shale, from silty beds near top","Maastrichtian, Lower. 69.57 MY",NA,,"Beside U. S. Highway 85, 0.2 mile south of bridge over Cheyenne River, E1/2 SW 1/4 sec. 21, T. 40 N., R. 61 W. ",Baculites clinolobatus,Baculites clinolobatus,W. A. Cobban,9/24/1955,0,,,43.42624,-104.19615,,,02/18/2014,Baculites clinolobatus,,Pierre,Baculites_clinolobatus
3405,4452,453,USA,CO,Larimer,Cretaceous,"Pierre shale, upper part","Maastrichtian, Lower. 69.57 MY",NA,,"Clarks Lake oilfield, from sump pit of oil well SE1/4 SE1/4 SW1/4 sec. 15, T. 9 N., R. 68 W., ",Baculites clinolobatus,,W. A. Cobban,9/27/1955,0,,,40.74168,-104.99213,,,02/18/2014,Baculites clinolobatus,,Pierre,Baculites_clinolobatus
4586,6929,459,USA,WY,Weston,Cretaceous,"Pierre shale, near top of Mitten black shale member",Campanian,NA,,"9 miles west - northwest of Upton, in the NE1/4 sec. 17, T. 48 N., R. 66 W. ", Baculites n. sp.,,W. J. Mapel,9/29/1955,,,,44.14608,-104.80519,,,02/18/2014, Baculites n. sp.,,Mitten,Baculites_n_sp
4133,5849,482,USA,NM,San Juan,Cretaceous,"Mancos shale, 150 - 200' above top of Greenhorn zone","Turonian, Middle. about 92.0 MY",NA,,"East of Red Rock Wash, on north side of Shiprock - Beclabito road",Collignoniceras woollgari,Collignoniceras woolgari,C. A. Repenning,1953,,,,36.83602,-108.93596,,,02/18/2014,Collignoniceras woollgari,,Mancos,Collignoniceras_woollgari
2907,3371,484,USA,AZ,Black Mesa,Cretaceous,"Mancos shale, 39 feet above base","Cenomanian, upper",NA,,"North of Lohali Point on east side of Black Mesa, AZ",Sciponaceras gracile ,Sciponoceras gracile,C. A. Repenning,1953,,,,36.15973,-109.81721,,,02/18/2014,Sciponaceras gracile fauna,,Mancos,Sciponaceras_gracile
2679,2885,486,USA,WY,Natrona,Cretaceous,Lewis shale,"Campanian, Upper. about 71.5 MY",NA,,"About 4 miles south of Powder River, SE1/4 sec. 30, T. 35 N., R. 84 W.",Baculites jenseni ,Pseudobaculites natosini,W. A. Cobban,7/14/1955,0,,,42.9718,-106.9522,,,02/18/2014,Baculites jenseni fauna,,Lewis,Baculites_jenseni
2205,2389,488,USA,MT,Meagher,Cretaceous,Bearpaw shale,"Campanian, Upper. 73.52 MY",NA,,Road cut 1/2 mile southwest of Lennep,Baculites compressus,Baculites cuneatus,W. A. Cobban,7/17/1955,0,,,46.41215,-110.55156,,,02/18/2014,Baculites compressus,,Bearpaw,Baculites_compressus
2206,2390,490,USA,MT,Wheatland,Cretaceous,Float from Bearpaw shale,"Campanian, Upper. 73.52 MY",NA,,"Beside road, 5 miles southwest of Shawmut and 0.5 mile north of bridge over Mud Creek, in sec. 10, T. 6 N., R. 17 E.",Baculites compressus,Baculites compressus,W. A. Cobban,7/18/1955,0,,,46.28577,-109.58018,AMNH Bull 342,,02/18/2014,Baculites compressus,,Bearpaw,Baculites_compressus
4596,6949,492,USA,MT,Wheatland,Cretaceous,From ironstones a little lower in Bearpaw shale than D491,Campanian,NA,,"South bank of Mud Creek 5.5 miles southwest of Shawmut, NW1/4 sec. 15, T. 6 N., R. 17 E.",Baculites,,W. A. Cobban,7/18/1955,0,,,46.27708,-109.58352,,,02/18/2014,Baculites,,Bearpaw,Baculites
4597,6950,493,USA,MT,Garfield,Cretaceous,"Claggett shale, phosphatic zone 6' above base",Campanian,NA,,"3.7 miles east - northeast of Mosby, NE1/4 NE1/4 NE1/4 SE1/4 sec. 5, T. 14 N., R. 31 E., , MT",Baculites,,W. A. Cobban,7/20/1955,0,,,47.00443,-107.8071,AMNH Bull 342,,02/18/2014,Baculites,,Claggett,Baculites
4598,6951,494,USA,MT,Garfield,Cretaceous,"Claggett shale, about 15' above base",Campanian,NA,,"3.7 miles east - northeast of Mosby, NE1/4 NE1/4 NE1/4 SE1/4 sec. 5, T. 14 N., R. 31 E., , MT",Placenticeras,Baculites eliasi,W. A. Cobban,7/20/1955,0,,,47.00443,-107.8071,AMNH Bull 342,,02/18/2014,Placenticeras,,Claggett,Placenticeras
