OBJECTID,Column2,Column1,Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date_,EandR,Map,USGS7_5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum,FormationNew,species,Ammonite_,Type_,COUNT,N_F
1,1062,753,4135,Canada,Alberta,Alberta,Cretaceous,"Pakowki Shale, from large septarian limestone concretions in lower part (Canada Geol. Survey Mem. 221, p. 38, 2.5 - foot unit)","Campanian, Middle  80.04 MY",NA,,"East side of Miners Coulee inLsd. 13 sec. 14, T. 1, R. 11, W. 4 th Mer. ",Baculites obtusus Meek?,Baculites obtusus,J. R. Gill,7/28/1963,,,,49.1019752,-111.4108943,,,02/18/2014,Baculites obtusus Meek?,,Pakowki,Baculites obtusus Meek?,Y,Ammonite,1,NA
2,655,750,9933,USA,AR,Sevier,Cretaceous,Ozan,Campanian,NA,,"SW1/4 sec. 24, T. 11 S. , R. 29 W.  Beside White Cliff Road",Baculites,,"Clardy, Burkholder Cobban",1974,0,Ben Lomand,,33.78635,-94.05407,,,02/18/2014,Baculites,,Ozan,Baculites,Y,Ammonite,1,NA
3,91,52,8826,USA,AR,Hemstead,Cretaceous,Base of Annona Chalk of Dane (currently being mappad as Marlbrook by B. J. Clardy & Arkansas. Neol. Comm),Campanian,NA,,"East side of road and in field just east of road the SW1/4 NE1/4 NW1/4 sec. 8, T. 11 S., R. 26 W","Nostoceras, Baculites ",,"B. J. Clardy, R. E. Burkhholder, W. A. Cobban ",26941,,Columbua 7-1/2 quad,,33.807,-93.8098,,,02/18/2014,"Nostoceras, Baculites ",,Annona,Baculites ,Y,Ammonite,1,NA
4,657,752,9939,USA,AR,Little River,Cretaceous,"Ozan Formation, from a hard chalky limestone bed",Campanian,NA,,"North side of Foreman- Arkinda road in the SW1/4SE1/4NW1/4 sec. 18, T. 12 S. , R. 32 W. ",Baculites taylorensis,,B.F.Clardy,27700,0,Foreman,,33.72933,-94.45646,,,02/18/2014,Baculites taylorensis,,Ozan,Baculites taylorensis,Y,Ammonite,1,NA
5,10,340,9210,USA,AR,Howard,Cretaceous ,Float from lower part of Annona Chalk but higher thanD9209,Campanian,NA,,"From floor of coment plant quarry at Okay, NW1/4 SW1/4 sec. 30, T. 11 S., R. 27 W.",Heteromopph ammonoids ,,"B.F.Clardy, R.E.Burkholder, and W.A. Cobban ",27342,CD-74-4D,Mineral Springs South,,33.7698,-93.93389,,,02/18/2014,Heteromopph ammonoids ,,Annona,Heteromorph ammonoids ,Y,Ammonite,1,NA
6,11,754,9209,USA,AR,Howard,Cretaceous ,Phosphatic nodule zone near base of Annona Chalk,Campanian,NA,,"From floor of coment plant quarry at Okay, NW1/4 SW1/4 sec. 30, T. 11 S., R. 27 W.",Heteromopph ammonoids ,,"B.F.Clardy, R.E.Burkholder, and W.A. Cobban ",27342,CD-74-4D,Mineral Springs South   ,,33.7698,-93.93389,,,02/18/2014,Heteromopph ammonoids ,,Annona,Heteromorph ammonoids ,Y,Ammonite,1,NA
7,660,1043,9211,USA,AR,Howard,Cretaceous ,Upper 2 or 3 ft of Ozan (?) Fm,,NA,,"From floor of coment plant quarry at Okay, NW1/4 SW1/4 sec. 30, T. 11 S., R. 27 W.",Heteromopph ammonoids ,,"B.F.Clardy, R.E.Burkholder, and W.A. Cobban ",27342,CD-74-4D,Mineral Springs South,,33.7698,-93.93389,,,02/18/2014,Heteromopph ammonoids ,,Ozan,Heteromorph ammonoids ,Y,Ammonite,1,NA
8,9,52,8826,USA,AR,Hemstead,Cretaceous,Base of Annona Chalk of Dane (currently being mappad as Marlbrook by B. J. Clardy & Arkansas. Neol. Comm),Campanian,NA,,"East side of road and in field just east of road the SW1/4 NE1/4 NW1/4 sec. 8, T. 11 S., R. 26 W","Nostoceras, Baculites ",,"B. J. Clardy, R. E. Burkhholder, W. A. Cobban ",26941,,Columbua 7-1/2 quad,,33.807,-93.8098,,,02/18/2014,"Nostoceras, Baculites ",,Annona,Nostoceras,Y,Ammonite,1,NA
9,17,385,2969,USA,CO,Huerfano,Cretaceous,From gray ls concrs. 2' below base of Apache sandstone,,NA,,"SE1/4 sec. 8, T. 27 S., R. 68W.",Baculites,,W. A. Cobban,5/25/1961,0,,,37.71225,-105.0192,,,02/18/2014,Baculites,,Apache,Baculites,Y,Ammonite,1,F
10,20,765,3462,USA,CO,Huerfano,Cretaceous,Pierre Shale above Apache sanstone member.,,NA,,"North of N. Apache Creek on W facing hill in SE1/4 sec. 30, T. 25 S., R. 67 W.","Baculites, Inoceramus",,G.R. Scott,9/15/1961,0,"Walsenburg 1:125,000  ",,37.84122,-104.92717,,,02/18/2014,"Baculites, Inoceramus",,Apache,Baculites,Y,Ammonite,1,F
