Column1,X,Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date,EandR,Map,USGS7.5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum,species
420,1555,9803,USA,WY,Johnson,Cretaceous,"Frontier Formation, from concretion at top of bentonite 8-9 ft above fourth wall Greek sandstone.",,NA,,"SW1/4 NE1/4 SW1/4 sec. 13, T. 42N., R. 82W.",Acan thoceras n. sp.,Inoceramus azerbaidjanensis,E.A.Merewether,02/09/1975,OER-75-36Dc,TTT Ranch ,,43.6045,-106.64833,,,02/18/2014,Acan thoceras n. sp.,,Acan thoceras n. sp.
384,1414,5721,USA,WY,Johnson,Cretaceous,"Frontier Fm., from black ironstones 10-15' above 9-ft bentonite",,NA,,"Center SW¼ sec. 16 and E½W½NE¼ sec. 17, T.43 N., R. 82 W.  ",Acanthoceras,,"W.H. & W.A. Cobban, Burkholder",8/23-24/66,,Kaycee,,43.69707,-106.72085,,,02/18/2014,Acanthoceras,,Acanthoceras
385,1419,5720,USA,WY,Johnson,Cretaceous,"Frontier Fm., just above 9-ft bentonite",,NA,,"SE¼NW¼NE¼ sec. 17, T.43 N., R. 82 W. ",Acanthoceras,,W.A. Cobban,8/24/1966,,Alkali Creek section,,43.69793,-106.72082,,,02/18/2014,Acanthoceras,,Acanthoceras
387,1429,5722,USA,WY,Johnson,Cretaceous,"Frontier Fm., from brown sandy limestone concretions about 95-105' above 9-ft bentonite.",,NA,,"West side of north-south spur in W½SE¼NE¼ sec. 17, T.43 N., R.82 W., Johnson Co., Wyo",Acanthoceras,,W.A. Cobban,7/28/66;8/24/66,,Kaycee ,,43.69545,-106.71808,,,02/18/2014,Acanthoceras,,Acanthoceras
410,1496,5727,USA,WY,Johnson,Cretaceous,"Frontier Fm., from a sandy ls. Coner. 13' above the 9-ft bentonite",,NA,,"Near center of W½NE¼NW¼ sec. 26, T. 43 N., R. 82 W.",Acanthoceras,,J.R.Gill,07/07/1966,,Kaycee,,43.67012,-106.66856,,,02/18/2014,Acanthoceras,,Acanthoceras
730,2667,5870,USA,WY,Weston,Cretaceous,"Belle Fourche Shale,22'below  2-ft bentonite",,NA,,"1.5 miles south of Osage, just south of creek near center of NW 1/4 sec. 17, T.46 N.,R.63 W.",Acanthoceras,Acanthoceras amphibolum,W.A. Cobban & W.H.Cobban,8/28/1966,,Osage section,,43.97113,-104.4517,,,02/18/2014,Acanthoceras,,Acanthoceras
731,2668,5871,USA,WY,Weston,Cretaceous,"Belle Fourche Shale, about 10'below 2-ft bentonite.",,NA,,"1.5 miles south of Osage, just south of creek near center of NW 1/4 sec. 17, T.46 N.,R.63 W.",Acanthoceras,,W.A. Cobban ,8/28/1966,,Osage section,,43.97113,-104.4517,,,02/18/2014,Acanthoceras,,Acanthoceras
733,2670,5873,USA,WY,Weston,Cretaceous,"Belle fourche Shale, about 17' above 2-ft bentonite",,NA,,"1.5 miles south of Osage, just south of creek near center of NW 1/4 sec. 17, T.46 N.,R.63 W.",Acanthoceras,,W.A. Cobban,8/28/1966,,Osage section,,43.97113,-104.4517,,,02/18/2014,Acanthoceras,,Acanthoceras
770,2747,7325,USA,WY,Niobrara,Cretaceous,"Belle Fourche Shale, from limestone concretions at top of Marker bentonite bed ",,NA,,"Near head of Elm Creek near center of W1/2 sec. 14, T. 36 N., R. 62 W.",Acanthoceras ,,J. R. Gill ,06/10/1970,,,,43.09692,-104.27538,AMNH Bull 342,,02/18/2014,Acanthoceras ,,Acanthoceras 
143,526,13576,USA,WY,Fremont,Cretaceous,"Frontier Fm., Belle Fourche Mbr","Cenomanian, Middle. 94.93MY",NA,Acanthoceras amphibolum,"SW1/4SE1/4 sec. 2, T. 33 N., R. 90 W.",Acanthoceras amphibolum,Acanthoceras amphibolum,Merewether,8/20/1994,0,Gas Hills  ,,42.85579,-107.58724,,,02/18/2014,Acanthoceras amphibolum,,Acanthoceras amphibolum
